blocks-iam	IamController	GET	permissions/{id}	/api/iam/permissions/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/{id}
blocks-iam	IamController	POST	roles	/api/iam/roles	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles
blocks-iam	IamController	GET	roles/{id}	/api/iam/roles/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/{id}
blocks-iam	IamController	GET	roles/{id}/archive-impact	/api/iam/roles/{id}/archive-impact	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/{id}/archive-impact
blocks-iam	IamController	GET	permissions/{id}/archive-impact	/api/iam/permissions/{id}/archive-impact	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/{id}/archive-impact
blocks-iam	IamController	POST	roles/assign-permissions	/api/iam/roles/assign-permissions	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/assign-permissions
blocks-iam	IamController	GET	roles/assignable	/api/iam/roles/assignable	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/assignable
blocks-iam	IamController	GET	resource-groups	/api/iam/resource-groups	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.resource-groups
blocks-iam	IamController	GET	resource/features	/api/iam/resource/features	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.resource/features
blocks-iam	IamController	POST	users/create	/api/iam/users/create	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/create
blocks-iam	IamController	POST	users/{id}	/api/iam/users/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/{id}
blocks-iam	IamController	POST	users/deactivate	/api/iam/users/deactivate	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/deactivate
blocks-iam	IamController	POST	users/activate	/api/iam/users/activate	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/activate
blocks-iam	IamController	POST	users	/api/iam/users	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users
blocks-iam	IamController	GET	users/{id}	/api/iam/users/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/{id}
blocks-iam	IamController	GET	me	/api/iam/me	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.me
blocks-iam	IamController	POST	me	/api/iam/me	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.me
blocks-iam	IamController	POST	users/access	/api/iam/users/access	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/access
blocks-iam	IamController	POST	users/revoke-access	/api/iam/users/revoke-access	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/revoke-access
blocks-iam	IamController	GET	email/available	/api/iam/email/available	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.email/available
blocks-iam	IamController	GET	users/exists	/api/iam/users/exists	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.users/exists
blocks-iam	IamController	POST	organizations/create	/api/iam/organizations/create	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/create
blocks-iam	IamController	POST	organizations/{id}	/api/iam/organizations/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/{id}
blocks-iam	IamController	GET	organizations	/api/iam/organizations	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations
blocks-iam	IamController	GET	organizations/{id}	/api/iam/organizations/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/{id}
blocks-iam	IamController	GET	organizations/my	/api/iam/organizations/my	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/my
blocks-iam	IamController	POST	organizations/config	/api/iam/organizations/config	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/config
blocks-iam	IamController	GET	organizations/config	/api/iam/organizations/config	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.organizations/config
blocks-iam	IamController	POST	signup-settings	/api/iam/signup-settings	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.signup-settings
blocks-iam	IamController	GET	signup-settings	/api/iam/signup-settings	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.signup-settings
